FY	SN	MODEL	DEST	CHASSIS	LCD PANEL	LCD_LABEL	LCD_VENDOR	INVERTER/LD	I_LABEL/LD_LABEL	TCON	T_LABEL	MAIN BOARD	M_LABEL	PSU	PSU_LABEL	REMOTE COMMANDER	REMOTE COMMANDER_LABEL
FY07	All	KDL-40W3000		FIX2	180248813	LTY[Z]400HA01	S-LCD	178983811	LJ97-01181A	NA		A1362568A	FB2	A1361279A	GF1	148036011	RM-ED010
FY07	All	KDL-40X3000		FIX2	180248931	LTY400HC01	S-LCD	NA		NA		A1362569A	FB2	A1361279A	GF1	148036011	RM-ED010
FY07	All	KDL-40X3000		FIX2	180248911	LTY400HC01	S-LCD	178983821	LJ97-01158A	NA				A1361279A	GF1	148036011	RM-ED010
FY07	All	KDL-40X3500		FIX2	180248931	LTY400HC01	S-LCD	NA		NA		A1362569A	FB2	A1361279A	GF1	148036011	RM-ED010
FY07	All	KDL-40X3500		FIX2	180248911	LTY400HC01	S-LCD	178983821	LJ97-01158A	NA				A1361279A	GF1	148036011	RM-ED010
FY07	All	KDL-46W3000		FIX2	180248612	LTY[Z]460HT-LH1	S-LCD	178983912 (L)	LJ97-01182A	NA		A1362568A	FB2	A1361279A	GF1	148036011	RM-ED010
FY07	All	KDL-46W3000		FIX2				178984012 (R)	LJ97-01183A	NA						148036011	RM-ED010
FY07	All	KDL-46X3000		FIX2	180249131	LTY460HH-LH2	S-LCD	178983912 (L)	LJ97-01182A	NA		A1362569A	FB2	A1361279A	GF1	148036011	RM-ED010
FY07	All	KDL-46X3000		FIX2	180249111	LTY460HH-LH2	S-LCD	178984012 (R)	LJ97-01183A	NA				A1361279A	GF1	148036011	RM-ED010
FY07	All	KDL-46X3500		FIX2	180249131	LTY460HH-LH2	S-LCD	178983912 (L)	LJ97-01182A	NA		A1362569A	FB2	A1361279A	GF1	148036011	RM-ED010
FY07	All	KDL-46X3500		FIX2	180249111	LTY460HH-LH2	S-LCD	178984012 (R)	LJ97-01183A	NA				A1361279A	GF1	148036011	RM-ED010
FY07	All	KDL-52W3000		FIX2	180248712	LTZ520HA01	S-LCD	178984111 (RU)	LJ97-01252A	NA		A1362568A	FB2	A1361550A	GF2	148036011	RM-ED010
FY07	All	KDL-52W3000		FIX2				178984211 (RL)	LJ97-01253A							148036011	RM-ED010
FY07	All	KDL-52W3000		FIX2				178984311 (LU	LJ97-01254A							148036011	RM-ED010
FY07	All	KDL-52W3000		FIX2				178984411 (LL)	LJ97-01255A							148036011	RM-ED010
FY07	All	KDL-52W3000		FIX2	180259311	LTY[Z]520HB02	S-LCD	178995511 (LU)	LJ97-01453A	NA				A1361550A	GF2	148036011	RM-ED010
FY07	All	KDL-52W3000		FIX2				178995611 (LL)	LJ97-01454A							148036011	RM-ED010
FY07	All	KDL-52W3000		FIX2				178995711 (RU)	LJ97-01455A							148036011	RM-ED010
FY07	All	KDL-52W3000		FIX2				178995811 (RL)	LJ97-01456A							148036011	RM-ED010
FY07	All	KDL-52X3500		FIX2	180249032	LTY[Z]520HE03	S-LCD	178984111 (RU)	LJ97-01252A	178994812	LJ9401944H	A1362569A	FB2	A1361550A	GF2	148036011	RM-ED010
FY07	All	KDL-52X3500		FIX2	180249011	LTY[Z]520HC01	S-LCD	178984211 (RL)	LJ97-01253A	178986211	LJ9401943F			A1361550A	GF2	148036011	RM-ED010
FY07	All	KDL-52X3500		FIX2				178984311 (LU	LJ97-01254A							148036011	RM-ED010
FY07	All	KDL-52X3500		FIX2				178984411 (LL)	LJ97-01255A							148036011	RM-ED010
FY07	All	KDL-70X3500		FIX2	NA			NA		NA		A1466312A		A1359151A&A1433798A	G1P2 & G2P2	148036011	RM-ED010
FY07	All	KDL-20S4000		SE1	180205811	V201B1-L02	CMO	146898713				A1198236A	BDT	A1189417A	G3	147984711	RM-ED007
FY07	All	KDL-20S4000		SE1								994802367	BDT			147984711	RM-ED007
FY07	All	KDL-20S4000		SE1							06TV157R*	994802373	BDT			147984711	RM-ED007
FY07	All	KDL-20S4020		SE1	180205811	V201B1-L02	CMO	146898713				A1198236A	BDT	A1189417A	G3	147984711	RM-ED007
FY07	All	KDL-20S4020		SE1								994802367	BDT			147984711	RM-ED007
FY07	All	KDL-20S4020		SE1							06TV157R*	994802373	BDT			147984711	RM-ED007
FY07	All	KDL-26T3000		SE1A	180236811	T260XW02-VK	AUO	178978011	1926006305			A1503609A	BC	A1313866A	G1	148015811	RM-ED009
FY07	All	KDL-32D2600		SE1A	180238013	T315XW02-VE	AUO	178978511	1926006326	NA		A1503611A	BC	A1257919A	G1	148015811	RM-ED009
FY07	All	KDL-32D2710		SE1A	180238013	T315XW02-VE	AUO	178978511	1926006326	NA		A1503611A	BC	A1257919A	G1	148015811	RM-ED009
FY07	All	KDL-32D2810		SE1A	180238013	T315XW02-VE	AUO	178978511	1926006326	NA		A1503611A	BC	A1257919A	G1	148015811	RM-ED009
FY07	All	KDL-32S2800		SE1A	180238013	T315XW02-VE	AUO	178978511	1926006326	NA		A1503610A	BC	A1257921A	G1	148015811	RM-ED009
FY07	All	KDL-32S3000		SE1A	180238013	T315XW02-VE	AUO	178978511	1926006326	NA		A1503611A	BC	A1257921A	G1	148015811	RM-ED009
FY07	All	KDL-32S3010		SE1A	180238013	T315XW02-VE	AUO	178978511	1926006326	NA		A1503611A	BC	A1257921A	G1	148015811	RM-ED009
FY07	All	KDL-32S3020		SE1A	180238013	T315XW02-VE	AUO	178978511	1926006326	NA		A1503611A	BC	A1257921A	G1	148015811	RM-ED009
FY07	All	KDL-32T2600		SE1A	180238013	T315XW02-VE	AUO	178978511	1926006326	NA		A1503610A	BC	A1257921A	G1	148015811	RM-ED009
FY07	All	KDL-32T2800		SE1A	180238013	T315XW02-VE	AUO	178978511	1926006326	NA		A1503611A	BC	A1257921A	G1	148015811	RM-ED009
FY07	All	KDL-32T3000		SE1A	180238013	T315XW02-VE	AUO	178978511	1926006326	NA		A1503611A	BC	A1257919A	G1	148015811	RM-ED009
FY07	All	KDL-40D2600		SE1A	180241012	LTZ400WT-LH3	S-LCD	178977111	LJ97-01042A	NA		A1503611A	BC	A1268617A	G3	148015811	RM-ED009
FY07	All	KDL-40D2710		SE1A	180241012	LTZ400WT-LH3	S-LCD	178977111	LJ97-01042A	NA		A1503611A	BC	A1268617A	G3	148015811	RM-ED009
FY07	All	KDL-40D2810		SE1A	180241012	LTZ400WT-LH3	S-LCD	178977111	LJ97-01042A	NA		A1503611A	BC	A1268617A	G3	148015811	RM-ED009
FY07	All	KDL-40S3000		SE1A	180241012	LTZ400WT-LH3	S-LCD	178977111	LJ97-01042A	NA		A1503611A	BC	A1268619A	G3	148015811	RM-ED009
FY07	All	KDL-40S3010		SE1A	180241012	LTZ400WT-LH3	S-LCD	178977111	LJ97-01042A	NA		A1503611A	BC	A1268619A	G3	148015811	RM-ED009
